inputName,n
11,6
19,6
12,32
38,10
81,21
5,30
40,19
70,11
23,4
72,9
79,22
78,19
87,25
6,22
68,10
69,18
1,24
45,18
33,12
15,2
93,9
24,26
25,27
26,11
48,9
71,6
76,22
7,28
50,19
22,9
4,20
32,30
77,22
91,10
42,24
13,6
41,12
55,5
31,3
66,8
65,8
62,27
21,19
95,27
84,5
58,25
64,29
83,10
94,13
0,31
99,9
96,12
67,7
61,26
43,25
2,3
54,6
30,13
59,7
85,30
74,26
90,20
18,9
52,15
44,8
17,10
36,12
49,21
86,23
37,16
56,22
63,19
35,32
97,29
75,18
57,29
88,8
10,27
53,3
8,16
39,14
47,10
60,15
89,8
51,15
14,31
28,31
16,14
34,29
82,15
46,18
27,2
20,4
9,14
92,29
3,19
98,20
29,21
80,11
73,15
