inputName,n
values_11,6
values_19,6
values_12,32
values_38,10
values_81,21
values_5,30
values_40,19
values_70,11
values_23,4
values_72,9
values_79,22
values_78,19
values_87,25
values_6,22
values_68,10
values_69,18
values_1,24
values_45,18
values_33,12
values_15,2
values_93,9
values_24,26
values_25,27
values_26,11
values_48,9
values_71,6
values_76,22
values_7,28
values_50,19
values_22,9
values_4,20
values_32,30
values_77,22
values_91,10
values_42,24
values_13,6
values_41,12
values_55,5
values_31,3
values_66,8
values_65,8
values_62,27
values_21,19
values_95,27
values_84,5
values_58,25
values_64,29
values_83,10
values_94,13
values_0,31
values_99,9
values_96,12
values_67,7
values_61,26
values_43,25
values_2,3
values_54,6
values_30,13
values_59,7
values_85,30
values_74,26
values_90,20
values_18,9
values_52,15
values_44,8
values_17,10
values_36,12
values_49,21
values_86,23
values_37,16
values_56,22
values_63,19
values_35,32
values_97,29
values_75,18
values_57,29
values_88,8
values_10,27
values_53,3
values_8,16
values_39,14
values_47,10
values_60,15
values_89,8
values_51,15
values_14,31
values_28,31
values_16,14
values_34,29
values_82,15
values_46,18
values_27,2
values_20,4
values_9,14
values_92,29
values_3,19
values_98,20
values_29,21
values_80,11
values_73,15
