inputName,k,size,arr[size]
values_11,68,31,"{-4, 80, -68, -70, -68, 102, 21, 65, -5, 37, 110, 36, -93, -90, -58, -109, -87, 83, 9, 42, 89, 64, 16, 105, 32, -18, -23, 21, -33, -35, -111"
values_19,68,12,"{-100, 65, 72, -67, -53, 97, 35, 97, 54, -120, 57, 42"
values_12,68,12,"{105, -22, -7, -35, -115, 95, -47, -87, -114, 109, 89, -10"
values_38,254,16,"{21, -48, 125, -27, 22, -16, -50, -87, -65, -67, -31, 18, -85, 53, -39, -110"
values_81,157,31,"{-87, -124, 118, -27, -34, -69, 111, -37, 120, 125, 45, -104, 46, -105, -64, -91, -126, -85, -60, 39, -27, -99, -54, 33, -96, 107, 92, 14, -1, 79, -28"
values_5,185,2,"{-6, -91"
values_40,63,23,"{80, -59, -95, -22, 65, -78, 85, 0, 116, -18, 107, -10, -71, -52, 117, -29, -74, -79, -19, 35, 77, -104, 92"
values_70,112,23,"{-120, -24, 110, 17, 15, 113, -89, -121, -108, 60, -108, 96, -107, 120, 5, -119, -25, 105, -63, 25, 31, -61, 96"
values_23,176,29,"{-50, 74, -54, -6, 100, 85, -62, -90, -35, -75, -118, -99, -30, -74, 85, 56, -95, -14, -75, -115, -52, 100, -21, 8, -19, 78, 64, 15, 96"
values_72,112,12,"{101, -51, 102, -59, -111, 87, 47, -49, 45, 63, 89, -120"
values_79,112,12,"{38, 45, -42, -77, 64, 57, 88, 126, 112, -123, -1, 82"
values_78,112,16,"{92, -103, 119, -40, -8, -13, -96, 112, 84, 70, -2, 36, 103, -93, 101, -39"
values_87,157,12,"{46, -62, 119, -92, -76, 117, -65, 89, -109, 40, 118, 28"
values_6,185,9,"{-74, 73, 16, -99, 2, 119, 90, -55, 24"
values_68,140,16,"{6, 44, -46, 111, 70, -62, -90, 116, -120, -86, -41, -75, 86, 112, 43, -75"
values_69,140,12,"{36, -71, 106, 4, -19, -7, -14, 57, 57, 121, -2, 121"
values_1,185,31,"{-4, -63, 6, -45, 105, 99, 61, 92, 117, 111, 98, -115, -71, 70, -126, -49, -107, -45, 97, -4, -84, -18, 24, -83, -122, -73, 16, -76, -42, 43, -74"
values_45,63,2,"{-51, 82"
values_33,254,29,"{59, 125, -80, 126, -16, -118, 116, -51, -38, 67, -38, -39, -43, 115, 87, -86, 24, 115, 28, 58, 44, -56, 79, 2, 58, -87, 65, -30, 27"
values_15,68,2,"{124, 67"
values_93,17,29,"{109, 5, 10, -116, 13, -76, -21, 105, -115, -66, 70, -46, 59, -45, -116, 84, 11, 84, 52, -26, 105, -81, -10, 124, 20, 0, -106, 42, 93"
values_24,176,18,"{123, -82, -56, 16, -86, 115, -119, -70, 74, 97, -110, 83, 21, -19, 64, -80, -60, -30"
values_25,176,2,"{93, -28"
values_26,176,9,"{11, 31, -38, 120, 15, 113, 122, -2, -95"
values_48,63,16,"{90, 58, -107, 122, -17, 110, -95, -78, -19, 85, 88, -32, 93, -32, 59, 46"
values_71,112,31,"{-108, -45, 89, 113, 89, -29, 71, 60, 78, 57, -29, 38, 78, 103, 22, 95, -62, -13, 97, -100, -37, 113, -2, 95, -58, -113, -37, -72, -83, -35, 56"
values_76,112,9,"{112, 86, 107, -78, 81, 26, 110, 6, 71"
values_7,185,12,"{-32, -18, -6, 7, -91, 82, 29, -117, 74, 9, -84, -77"
values_50,125,23,"{-17, -70, 71, 114, 120, -121, 46, 62, -99, -99, -115, 56, -21, 31, -103, 17, 95, -99, -70, -34, 94, -71, -13"
values_22,176,12,"{109, 61, -68, 19, 125, 53, -73, 24, 115, 11, 114, 115"
values_4,185,18,"{-56, -14, 94, -79, 19, -78, -57, 90, -122, -46, -107, -1, -53, 92, 103, -116, -30, 122"
values_32,254,12,"{-19, -125, -111, 100, -124, -88, 56, -65, -60, 18, 105, -49"
values_77,112,12,"{-48, -12, 32, -109, -64, 98, 29, 7, -3, 21, 29, 11"
values_91,17,31,"{117, 107, -19, 115, 111, -94, -13, 99, 45, -103, 29, -69, 37, -33, 118, -15, 26, 46, 58, 64, -45, 38, -90, 113, -49, 75, -110, 4, -46, 62, -77"
values_42,63,12,"{119, 9, 10, -71, 120, 78, 95, -40, 3, -66, 90, -104"
values_13,68,29,"{69, -82, 5, 112, 13, -77, -34, -107, 110, 125, -65, 40, 78, -47, -13, -44, -16, 9, -25, -26, -56, -91, -56, -112, -107, -53, 112, -64, -69"
values_41,63,31,"{-37, 51, -34, -31, -48, 30, 64, -66, -122, 73, 26, 73, 19, -34, -32, -72, -2, 42, -72, -72, 8, 22, -114, -64, 20, -50, -59, -92, -76, -2, 50"
values_55,125,2,"{92, 2"
values_31,254,31,"{99, 44, -6, -125, -32, -11, 88, 24, -79, -79, -76, -20, 102, 92, -64, 90, 1, 36, 111, 81, 113, -31, -52, 6, -125, -120, 118, 86, 22, 7, -6"
values_66,140,9,"{-59, 96, 28, -18, 86, 38, -113, -77, -92"
values_65,140,2,"{36, 54"
values_62,140,12,"{-49, -11, -43, 39, 40, -63, 114, -58, -116, -68, -96, -2"
values_21,176,31,"{76, -48, 118, 2, -118, 62, -6, 96, -92, -47, 0, 84, 69, -33, -97, 47, 124, 91, 2, -72, -92, 7, -34, -1, -57, -59, 36, 71, -68, -85, -17"
values_95,17,2,"{126, 14"
values_84,157,18,"{-79, -77, 75, -2, 85, 12, -105, 14, 123, -72, 55, 122, -16, -37, 62, 17, 96, 93"
values_58,125,16,"{2, 49, -57, 111, -80, -64, -74, 106, 21, -61, -79, -38, 29, 65, 24, 32"
values_64,140,18,"{-5, 102, 93, 70, -16, -83, -84, 47, 68, 39, 88, 30, -117, -46, 1, -19, 3, 40"
values_83,157,29,"{21, 26, 50, 12, -3, 12, 2, -73, 57, -110, -9, 9, 15, -115, 66, 80, -72, -101, 116, 19, 10, 45, -102, -33, -7, 77, -34, 1, 82"
values_94,17,18,"{-114, -102, -68, -65, 32, 38, -29, 88, 124, -113, 96, 44, -103, 87, 57, 67, 109, 86"
values_0,185,23,"{84, 75, 25, 32, -71, -117, 11, 33, -85, -46, -59, -19, 3, 110, -42, 109, 119, -104, -46, -60, 14, -80, -39"
values_99,17,12,"{-53, 126, -101, -115, -12, 22, -10, 11, 44, 108, 90, -72"
values_96,17,9,"{57, -109, 90, -13, 7, 114, -101, -106, -101"
values_67,140,12,"{-114, -106, -16, -121, -13, 6, -67, 52, 62, 14, 67, 28"
values_61,140,31,"{93, -28, 17, -89, -15, 100, -119, 46, 8, 80, -59, 3, 21, -36, 99, 29, 82, -119, 20, -120, -29, 61, 9, 52, 11, -104, 113, 0, -117, 124, 24"
values_43,63,29,"{85, -15, 20, 34, 99, 105, -95, 1, 60, 108, -115, -119, -11, -121, -69, 77, 73, 90, 111, -115, 32, -16, -52, -101, 107, -74, 43, -6, -59"
values_2,185,12,"{-99, -46, 67, -68, 59, -14, 74, -53, 45, 22, 64, 93"
values_54,125,18,"{49, -63, -86, -6, 39, 51, 116, -103, 108, 8, 65, 46, -29, 57, 72, -102, -48, -21"
values_30,254,23,"{17, -50, -40, 126, -124, 0, -44, -41, -16, -120, 113, 120, 12, -75, 31, 30, 83, -18, -117, 22, -48, 113, -68"
values_59,125,12,"{23, -12, 28, -11, 114, 100, -41, -67, -49, -123, 22, -86"
values_85,157,2,"{-25, -23"
values_74,112,18,"{15, 126, -72, -12, -11, -83, 76, 77, 40, -32, -52, 33, -27, -37, 35, -56, -39, 44"
values_90,17,23,"{-96, -18, 29, 68, -71, -32, -109, -64, 108, 115, 58, -87, -33, 8, -83, -118, 98, -45, -83, -75, -13, 0, 123"
values_18,68,16,"{-31, 9, -37, 86, -85, -59, 98, -107, 26, -15, 125, -6, 81, 12, 120, -119"
values_52,125,12,"{34, 53, 88, -109, -113, 6, -38, -109, -43, -31, 42, 30"
values_44,63,18,"{92, -122, -95, 57, 124, -13, -37, 51, 6, -106, -115, 69, -44, -82, 29, 22, 50, -37"
values_17,68,12,"{100, 13, -99, -113, 6, 92, 73, -51, -70, 76, 55, 66"
values_36,254,9,"{-98, -107, 109, -25, 9, 100, -56, 6, 23"
values_49,63,12,"{-5, 75, 93, -24, 28, -95, 103, -84, 112, 84, -37, 66"
values_86,157,9,"{-1, -27, 88, 87, -57, 45, -82, -61, -114"
values_37,254,12,"{-24, 32, -4, -2, -124, -99, -72, -38, -19, -99, -67, -81"
values_56,125,9,"{10, 81, 72, 45, 49, 8, -68, -24, -69"
values_63,140,29,"{105, 51, -110, -106, -64, -63, -24, 63, -62, 120, -13, -51, -76, -80, 59, -112, -103, 98, 81, -53, 124, 28, 87, 102, 116, 50, 109, 20, -94"
values_35,254,2,"{-107, -56"
values_97,17,12,"{70, -81, 42, -34, -115, -37, -52, 73, -6, 37, -117, 68"
values_75,112,2,"{-113, -54"
values_57,125,12,"{-93, -66, -74, 96, 108, 106, -60, -23, -83, -5, 97, -107"
values_88,157,16,"{-23, 108, 26, -78, 50, -88, 53, 5, -126, 30, 104, 45, -99, 75, -94, -38"
values_10,68,23,"{-49, -44, 106, -96, -6, -85, 91, 121, 92, 82, -50, 18, -37, -75, 119, 85, 114, -23, 105, -114, -48, -61, -43"
values_53,125,29,"{-78, -53, -48, 14, 92, -22, -108, 116, 61, -124, -55, -115, -10, 76, -122, 89, -116, -90, 32, -88, 65, 91, -84, -74, -65, -5, 31, 11, 61"
values_8,185,16,"{-60, -124, 65, 102, -34, -102, -73, 4, -67, 123, 103, 13, -14, 102, 119, 113"
values_39,254,12,"{114, -112, -10, -35, 101, -18, -60, -7, -109, -88, -109, -90"
values_47,63,12,"{100, 44, 75, -22, -23, -72, 104, -113, -11, 113, 122, -125"
values_60,140,23,"{108, 46, -89, -9, -33, 42, 17, -2, 77, -35, 65, -96, -21, -118, -44, 18, -89, -124, 28, -15, 29, 42, 63"
values_89,157,12,"{112, -119, 64, -98, 106, -27, 23, -40, -98, 43, -84, -78"
values_51,125,31,"{-67, -51, 8, 15, 72, 82, -103, -104, -75, -67, 69, 118, 45, -83, -54, -6, -60, -5, -120, 115, 14, 122, 48, 77, -65, 108, -21, 44, -43, 77, -86"
values_14,68,18,"{93, -96, 55, 47, 59, -7, 108, -87, -102, -109, 23, -83, 104, 121, 6, -40, -43, -97"
values_28,176,16,"{76, -102, 123, -20, 32, 2, 110, -67, -9, 95, 107, 21, 14, -124, 95, -27"
values_16,68,9,"{-117, -31, -5, -100, -22, 86, -122, -28, -104"
values_34,254,18,"{-94, 61, 18, 102, -31, 99, -14, 85, -98, -49, -31, -3, 107, -86, 45, 56, -28, 67"
values_82,157,12,"{88, -37, 9, 49, -52, 60, 54, 122, 125, 25, 79, -99"
values_46,63,9,"{123, -43, -107, 76, -102, 35, 81, 16, 120"
values_27,176,12,"{-33, 10, 81, -123, 13, 41, -13, 91, 54, -28, -23, -4"
values_20,176,23,"{44, -47, -34, 47, -116, -72, 96, 115, -116, -113, 31, -115, 22, -31, -32, 99, -70, 44, -47, -103, 32, -17, -55"
values_9,185,12,"{123, 72, 61, 88, -58, 95, 36, 8, 43, -61, -97, -124"
values_92,17,12,"{98, -112, 61, 43, -107, 2, -103, 19, 100, -60, 94, 89"
values_3,185,29,"{-31, 58, -110, 113, 74, -58, 28, -88, -124, -36, -39, 60, 59, -97, 118, 24, 111, 17, 77, -95, -12, 120, 51, 11, 104, -77, -91, 35, 95"
values_98,17,16,"{-27, -41, 11, -118, 38, 52, 11, 47, 2, 18, -68, -92, -39, -104, 26, -98"
values_29,176,12,"{-4, -126, 100, 76, 97, 27, -92, -11, -13, 3, -46, 31"
values_80,157,23,"{-51, -125, -96, -105, -5, -114, -110, -66, -1, -114, -74, 101, -25, -7, 79, -1, 88, 111, 83, -62, -10, 20, 66"
values_73,112,29,"{-19, -36, 13, -123, 43, 57, -10, -104, -100, -20, -38, -53, 77, -49, 43, 59, -43, 58, 2, -82, -104, 56, 92, 125, -51, 8, -80, -67, 110"
