inputName,nn,size,isign,data[size]
values_11,2,26,-1,"{33, -77, 57, 66, 39, 70, 3, 1, -100, -103, 90, -126, -89, 76, -6, 26, 96, 94, -17, -37, -10, 46, 94, -98, 7, 5"
values_19,2,28,-1,"{-54, -95, -17, -112, -68, -28, 30, 40, -21, -31, -91, -65, -64, 69, -70, 63, -63, 58, -115, -69, 35, 105, 26, -15, -89, -56, -42, 65"
values_12,2,25,-1,"{96, -112, 34, -41, -110, -125, 85, -19, -53, -99, 30, -3, -23, 122, -39, 15, 126, -37, -128, -38, 43, 67, -71, -2, -76"
values_38,6,26,-1,"{-7, -11, -81, -16, 4, -56, -5, 127, -69, 116, -96, 69, -9, -73, 108, 98, 119, 65, -19, -66, 116, -90, -98, 125, -9, 113"
values_81,7,26,-1,"{126, 55, -70, -122, 49, -74, 107, -19, 113, -86, 52, -61, 115, -95, 90, -29, 88, 76, 110, 110, 49, 107, 86, 85, 9, 47"
values_5,4,3,-1,"{10, 106, -11"
values_40,7,25,-1,"{107, 0, -55, -94, -92, 54, 76, -34, -95, 84, -121, 88, -65, -28, -88, 25, 115, 52, -95, -24, -59, -115, -58, 86, -92"
values_70,6,25,-1,"{123, 65, 54, 127, -24, -127, -122, -88, 88, 83, 102, 123, 26, -95, 102, -17, 61, 109, -127, 6, -55, -6, -111, -37, 79"
values_23,2,11,-1,"{58, 55, 38, -30, 32, -8, 119, -57, 24, 48, 112"
values_72,6,25,-1,"{59, -106, -27, 108, -119, -118, 122, -94, 30, -110, -98, -120, -18, 95, -128, -32, -31, 101, 73, -116, 40, 51, 59, 74, 46"
values_79,6,28,-1,"{94, -46, -18, -105, 42, 68, 76, 102, -61, -90, -50, 33, 99, 65, -48, 106, 13, -84, 7, 124, -26, 51, 68, 36, 3, -4, -83, 42"
values_78,6,26,-1,"{-25, -102, -21, 25, 116, 81, -44, -11, -11, 54, -66, 62, 59, -77, -13, -3, 73, 5, 12, 90, -49, -91, -81, 90, -57, -44"
values_87,7,20,-1,"{-18, 85, 111, 115, -101, -45, 92, 113, -12, -45, -72, 94, -87, 30, 46, -88, -27, -40, 28, 115"
values_6,4,14,-1,"{62, -61, -7, -80, -39, -72, 99, -105, -43, 7, 6, -7, -36, 125"
values_68,5,26,-1,"{-46, -54, -74, 52, -61, 105, -5, -103, 47, -74, 19, 102, 41, -49, -48, 40, -9, -64, -107, -95, -11, -62, -25, -105, -33, 65"
values_69,5,28,-1,"{-52, -101, 79, -69, 90, 122, -61, -122, 89, -36, 82, -44, 65, 29, -87, 60, -74, -50, -36, -13, -33, 15, -112, 76, 13, 74, 31, 78"
values_1,4,26,-1,"{18, 12, -21, -59, -110, -87, 109, -40, 28, -120, -80, -103, -35, 36, 79, -27, 67, 16, 12, -128, -82, -52, -62, 65, 91, 115"
values_45,7,3,-1,"{-37, 25, 65"
values_33,6,11,-1,"{47, -81, -121, -92, 101, -99, -62, -6, 78, 57, -8"
values_15,2,3,-1,"{95, 109, -58"
values_93,9,11,-1,"{-68, 32, -88, 88, 70, 49, 114, 13, -78, 104, -65"
values_24,2,5,-1,"{35, -47, 81, -7, 96"
values_25,2,3,-1,"{-10, 100, -64"
values_26,2,14,-1,"{31, 13, 65, -45, 84, -116, 11, 60, 82, -107, -9, 125, 102, 24"
values_48,7,26,-1,"{127, 107, -47, 115, 26, -35, -46, 115, -43, 103, 22, 45, 39, -27, 60, 112, -67, 43, 84, 62, 111, 2, 123, -111, -93, 88"
values_71,6,26,-1,"{-117, -57, -24, 48, 56, -14, -36, 69, 53, -119, -80, -63, -44, -102, 45, -18, -95, 125, 82, -97, -115, 4, 17, 101, -45, -74"
values_76,6,14,-1,"{-125, 112, 40, -93, -32, 6, -22, 17, 120, 70, 112, 41, -55, 126"
values_7,4,20,-1,"{60, 98, 83, -45, 55, 108, -13, -42, 91, 113, 2, 59, 82, 68, 35, -36, 100, -23, 60, -104"
values_50,2,25,-1,"{-89, 36, 80, 46, 37, -60, 90, 124, 73, -62, 31, -16, 51, -21, 24, -106, -88, -14, 16, -30, 27, -77, -103, 11, 25"
values_22,2,25,-1,"{110, 102, -115, 84, 19, 2, -9, 57, -30, 18, 72, 86, 28, -105, 104, 99, -83, 101, 100, -80, 79, 16, -110, 54, 38"
values_4,4,5,-1,"{125, -107, -62, 65, 56"
values_32,6,25,-1,"{33, 83, 77, 13, 37, -93, 30, -11, -86, -104, 40, -108, -96, 64, 112, 82, -21, -13, 110, 40, 70, 117, -31, -114, -97"
values_77,6,20,-1,"{65, -41, 113, -19, 120, 67, 124, 21, 58, -86, -20, -67, 77, 90, -25, -79, -17, 92, 43, -33"
values_91,9,26,-1,"{104, 25, -20, 79, -74, -74, -67, 102, 22, 31, -12, 13, 7, 20, -102, 95, -121, 61, -104, 6, 53, 10, -117, -66, 68, -110"
values_42,7,25,-1,"{38, 68, -19, 98, 39, 40, -19, -22, 54, 89, 124, -118, 30, -7, -33, 9, 118, 72, 120, 16, 7, -102, -44, -114, 64"
values_13,2,11,-1,"{-29, 22, -49, -45, -4, -60, 96, -79, 48, -56, 8"
values_41,7,26,-1,"{-25, 85, 18, 33, 81, -90, -35, 31, 8, 8, 43, -26, -77, 52, -37, 27, -20, -83, 3, 6, 123, 105, -63, -125, 87, 12"
values_55,2,3,-1,"{52, 97, 67"
values_31,6,26,-1,"{-107, -119, 89, 100, 48, -63, 81, 71, -125, 116, 20, -94, 75, 85, -3, 41, 77, 53, 57, 101, -19, -124, -111, 26, 102, 120"
values_66,5,14,-1,"{6, -119, -57, 95, -75, 32, 26, -30, -23, 8, -92, -67, -99, 47"
values_65,5,3,-1,"{-32, 45, -34"
values_62,5,25,-1,"{-124, 2, 6, 13, 96, -90, -88, 63, 10, 17, 89, 19, -79, 78, 76, -46, -97, -19, -3, -11, 10, 38, -37, -65, 90"
values_21,2,26,-1,"{-92, 66, 41, -66, -31, -80, -124, 62, -46, 80, 57, -80, -19, 16, -59, -124, -116, 45, 20, 50, -104, 69, -111, -83, -76, 98"
values_95,9,3,-1,"{-80, 7, 30"
values_84,7,5,-1,"{-54, 106, 40, -20, -20"
values_58,2,26,-1,"{-18, -71, 13, 119, -82, -66, -39, -71, -52, 102, -13, 83, -91, 61, 55, -70, 81, 17, -10, -47, 104, 23, 90, 94, -53, 65"
values_64,5,5,-1,"{-77, 91, 46, 67, 119"
values_83,7,11,-1,"{-1, 89, -87, 93, 120, 71, -105, -115, 14, 33, 91"
values_94,9,5,-1,"{35, -42, -100, -111, 124"
values_0,4,25,-1,"{22, -70, 68, 91, -6, 43, 111, -25, 57, -70, -51, -39, -68, -23, 23, -78, -70, -76, 45, -57, 106, 65, -49, -104, -14"
values_99,9,28,-1,"{-29, -10, 31, 50, 18, -22, -34, -30, -9, -51, 39, -52, 91, 111, -7, 36, -119, 1, -50, -53, 112, 64, -34, -13, 101, -89, 84, 22"
values_96,9,14,-1,"{-81, 73, 98, -11, 57, 96, -27, -23, -8, 127, -60, 40, -70, 13"
values_67,5,20,-1,"{-100, -84, 101, -20, 0, -100, -110, 70, -51, -11, -100, 50, 74, -34, -72, 56, -22, 28, 90, 121"
values_61,5,26,-1,"{73, -69, 75, 28, 99, 72, -45, 85, 76, -22, -48, 120, -46, 52, 19, 96, 102, -69, 79, 18, -25, -51, 117, -89, 42, 23"
values_43,7,11,-1,"{52, -124, -34, 110, -128, 46, -68, 70, -5, 65, 32"
values_2,4,25,-1,"{32, 28, -71, 108, -6, 85, 72, 82, 99, -107, -50, 72, 3, -17, 78, 63, -31, -48, -105, -45, -93, 92, 65, 53, -66"
