inputName,nn,isign
11,3,-1
19,3,-1
12,3,-1
38,2,-1
81,8,-1
5,3,-1
40,7,-1
70,3,-1
23,4,-1
72,3,-1
79,3,-1
78,3,-1
87,8,-1
6,3,-1
68,2,-1
69,2,-1
1,3,-1
45,7,-1
33,2,-1
15,3,-1
93,8,-1
24,4,-1
25,4,-1
26,4,-1
48,7,-1
71,3,-1
76,3,-1
7,3,-1
50,4,-1
22,4,-1
4,3,-1
32,2,-1
77,3,-1
91,8,-1
42,7,-1
13,3,-1
41,7,-1
55,4,-1
31,2,-1
66,2,-1
65,2,-1
62,2,-1
21,4,-1
95,8,-1
84,8,-1
58,4,-1
64,2,-1
83,8,-1
94,8,-1
0,3,-1
99,8,-1
96,8,-1
67,2,-1
61,2,-1
43,7,-1
2,3,-1
54,4,-1
30,2,-1
59,4,-1
85,8,-1
74,3,-1
90,8,-1
18,3,-1
52,4,-1
44,7,-1
17,3,-1
36,2,-1
49,7,-1
86,8,-1
37,2,-1
56,4,-1
63,2,-1
35,2,-1
97,8,-1
75,3,-1
57,4,-1
88,8,-1
10,3,-1
53,4,-1
8,3,-1
39,2,-1
47,7,-1
60,2,-1
89,8,-1
51,4,-1
14,3,-1
28,4,-1
16,3,-1
34,2,-1
82,8,-1
46,7,-1
27,4,-1
20,4,-1
9,3,-1
92,8,-1
3,3,-1
98,8,-1
29,4,-1
80,8,-1
73,3,-1
