inputName,size
11,3
19,2
12,3
38,5
81,12
5,12
40,10
70,4
23,10
72,10
79,9
78,12
87,11
6,12
68,6
69,9
1,3
45,3
33,6
15,12
93,2
24,9
25,12
26,2
48,3
71,8
76,11
7,2
50,12
22,10
4,2
32,10
77,5
91,9
42,6
13,11
41,4
55,2
31,7
66,6
65,5
62,4
21,3
95,11
84,12
58,11
64,10
83,3
94,5
0,6
99,6
96,4
67,3
61,3
43,7
2,6
54,7
30,8
59,8
85,12
74,12
90,10
18,5
52,7
44,5
17,5
36,12
49,8
86,8
37,4
56,2
63,8
35,5
97,12
75,12
57,8
88,8
10,3
53,3
8,6
39,9
47,5
60,4
89,5
51,2
14,9
28,8
16,2
34,4
82,2
46,4
27,9
20,11
9,4
92,8
3,10
98,9
29,3
80,8
73,12
