inputName,size,a[size][size],b[size][size]
values_11,6,"[[6334552154979168797, 6126932756061634989, -3825988869346468213, -7548527248571579316, -1222988159753909461, -6275825013498167992],[2106085833104289121, 483248429666291863, -3348952806488639060, -6086099668508111233, 6751912260415542978, -4279798950839285685],[973058902552330988, -5505216432995301722, 7131967758182348865, 6506916650548505354, -6153245402221530698, 2551242084129027393],[2357868927114463120, 5001242571172499266, 3864627029207863987, -2500600359581849560, -4759530986728685459, 6451454769982430540],[4795299716194867014, 5386297728412848452, 1731150899069407670, 7736749999284963344, 7969139340724651253, -5526734259433921081],[4200475206167857819, -7676713515954831007, -8100328951947364488, 1686483857247993733, -4549553248952533334, -7806299812445315010]]","[[-7910277038175545760, 5607255494723427317, -1395210504694823867, 6917212117181179906, -7375286645237405504, 6344277163199855755],[6655494534926749090, -4257302508980915781, 3507180792836785493, 2001067273872269615, -5523796072702906508, 9217110047987930044],[2919229421353286799, -9199762741779703913, 8764284098958530923, 48793065715040245, 2446283179897869543, 786276042460674373],[849203199153347843, -6392601890258076273, 2080078881424336660, -8996058763312468119, 919583108139771002, -6760382068657619493],[4159322282116638509, -8996585831068357726, -5030628900760381268, 3891677954359389451, 7215972514408316898, 6115535913134133199],[6819051513655136996, -4309333848856280299, 6765976387567883031, 2476567237026490300, -3550019283295060545, 7918791073998232617]]"
values_19,2,"[[-6482239037676205348, -570640642862413008],[-4775981945229141037, -698082496594275379]]","[[-6073406377468194364, -5714290028074573309],[2785670421646942193, -5200638874648393703]]"
values_12,4,"[[-1396241889769888286, -1794310250107476261, 2937326930620606136, 2482759189252387763],[-3468923473856628169, 7149450287457135088, -5342201532178411133, -5362825279102060207],[8144626222913665195, 3118491064436192643, -3207134908908624904, 6284983130762724934],[2899382375662693854, 3531589592872741630, 5098135573315833678, 78771259995913512]]","[[7513736553411188490, 1585103541759923466, -389816025820960967, 8908414480655738090],[6796779756047504772, -6774264810716490588, -4960441366489917476, -7225627681110657125],[-355342414713067293, 12284334592294234, -4916352015726743052, 7534694789041315238],[8081559285983335030, 1039632723860824415, -847819296486771208, 2039641657803149853]]"
values_38,2,"[[-155610768297420434, 8406696083610988362],[4142201299740191827, -108140883614063265]]","[[-4824775683944905588, -7259705547416370485],[-5547058981316359812, -4467040016132009062]]"
values_81,5,"[[-5720854025214630854, -41337271130797416, 1044983509720791690, 785718435891757900, 4887880766692060593],[-2355183941846429458, -6613336019495939513, -5328653559527037535, -719115165536276423, 6986637102918114728],[-6152408165256391080, -1286487361856853653, 2391765826964742175, -7402662001779813213, 1367650587627618762],[-1649394047808773840, -7970785835762236018, -2576543070317026328, 3400909497595851128, -8943448086478557744],[-7318452079910548993, 1651648247305956708, 5427039185425039422, 7581363186714022157, 1593027117832878518]]","[[-2561421344140026619, -6906620926527289501, -5840774998990707342, -6445885074538843899, 7620707135606925366],[7460892415484552997, -3759291634148571232, 961890566628343487, 3987335992282231397, 2084092229948857384],[402150218467803995, 3969710183760332397, -5011648788292490538, 7931232176789279634, 5187143510034135758],[-8131627424293317021, -7781919209619462070, -2448499555354582301, -5933266766598329123, -3686985791914228794],[521829723141787495, -6765059006732508653, -5132463782895561313, -6368589737416358145, 2277481412708009408]]"
values_5,5,"[[2399547326002912731, -8635142133100317631, -361473673834864534, -8799057316692394709, -5735334733537057505],[4362666633669043509, 4818302258479740172, 633877918938343751, 2620537817432996495, 4696227449118593988],[5918836311954144593, -8682032021819790537, -8517057558995138108, 6279958748753879733, -2147735544595319434],[9195597646715995774, 4654626764035327306, 3352766545451149526, -203396393209723171, 4450390613058730671],[-4211512162961667403, 2160862730761967923, 4658785057440010896, 8097298651640196044, -7768071988244194777]]","[[-3003523923111925421, 2145852830544169343, -2314364716374088631, -2301781042535187685, -7505343997116737964],[-4976658044282747470, 6632809951364073256, 8570163950961751741, 7603804882144362211, 5778922505591962874],[-6595789968639332337, -7202701831645108922, -6217158950023219276, 2517757799574554693, 6044968303636448409],[-1738708292623035986, 6880735981804785556, -5844642141736709691, 3773104951612578372, 1634473146076267346],[541929145394301769, 836217539055077420, -7480204427698780075, -8857598655447926923, 4076053950048683254]]"
values_40,2,"[[9130483083049694431, 7087006362560907614],[7264992380887269675, 9125451758536232288]]","[[4174325434718352674, -7014503690803410223],[-6521043913195556276, -689895960774313623]]"
values_70,4,"[[5411137647639415283, 3244598394556331575, 7794139418246908382, 8712301151341755637],[8042228279126698336, -8840588642773882898, -4568579475674563959, -1819471498496301613],[1735270611238021282, 6453361551942154773, -43071260286315263, 5290121535264448264],[-5310319995981565074, -4805496699266782798, -5668153760947298973, -3150752148466943569]]","[[7725801021826627374, -3678594210740370117, -911122137681722251, -5929335862948231865],[6082839226139344629, 6780531247744534660, 8678890888102579351, 8497563973510136249],[-8890079777824151742, 3477518606858881057, -8471198108332080513, 802319990505599099],[331885332249675243, 2530531121927354527, -2027494253049194586, -2117650484005704962]]"
values_23,2,"[[-1408825413475941847, -7775450551320877094],[6760704073735671179, 349369931864378075]]","[[8593508504949654080, -402159550203045156],[-2534823691080989667, 2699025675124764207]]"
values_72,2,"[[-5783170305687307288, 7302486907418265003],[1159319532130821494, 7840594078913236882]]","[[-6736647544844057562, 2718500136892960392],[-6364547931552942838, 6228168105410817040]]"
