inputName,k
11,196
19,196
12,196
38,62
81,105
5,185
40,47
70,206
23,75
72,206
79,206
78,206
87,105
6,185
68,101
69,101
1,185
45,47
33,62
15,196
93,2
24,75
25,75
26,75
48,47
71,206
76,206
7,185
50,150
22,75
4,185
32,62
77,206
91,2
42,47
13,196
41,47
55,150
31,62
66,101
65,101
62,101
21,75
95,2
84,105
58,150
64,101
83,105
94,2
0,185
99,2
96,2
67,101
61,101
43,47
2,185
54,150
30,62
59,150
85,105
74,206
90,2
18,196
52,150
44,47
17,196
36,62
49,47
86,105
37,62
56,150
63,101
35,62
97,2
75,206
57,150
88,105
10,196
53,150
8,185
39,62
47,47
60,101
89,105
51,150
14,196
28,75
16,196
34,62
82,105
46,47
27,75
20,75
9,185
92,2
3,185
98,2
29,75
80,105
73,206
