inputName,val
11,22264
19,25688
12,21418
38,29978
81,11924
5,929
40,25463
70,367
23,25356
72,24032
79,4102
78,26090
87,32324
6,13743
68,25583
69,14330
1,7194
45,16955
33,16334
15,2064
93,26463
24,12440
25,4090
26,9043
48,28181
71,31603
76,23
7,5612
50,31211
22,2104
4,24715
32,5214
77,13558
91,17117
42,7552
13,14937
41,11001
55,10676
31,7313
66,32576
65,3366
62,8580
21,13753
95,20549
84,15147
58,23584
64,24382
83,444
94,17695
0,11664
99,3395
96,1718
67,12748
61,12741
43,3850
2,32765
54,15663
30,26291
59,25226
85,11093
74,25372
90,18319
18,28208
52,4917
44,10349
17,19092
36,296
49,11620
86,17334
37,26603
56,844
63,20835
35,842
97,2977
75,30728
57,3853
88,22678
10,6972
53,21019
8,25041
39,16738
47,11583
60,6371
89,12034
51,14693
14,23055
28,2758
16,6000
34,3250
82,22154
46,3313
27,20166
20,23759
9,29329
92,31254
3,11097
98,6150
29,22154
80,30914
73,24715
