inputName,n
values_11,10
values_19,6
values_12,29
values_38,20
values_81,4
values_5,26
values_40,21
values_70,6
values_23,20
values_72,15
values_79,6
values_78,17
values_87,12
values_6,23
values_68,4
values_69,3
values_1,15
values_45,26
values_33,11
values_15,11
values_93,25
values_24,5
values_25,24
values_26,12
values_48,21
values_71,13
values_76,20
values_7,31
values_50,25
values_22,23
values_4,8
values_32,10
values_77,11
values_91,25
values_42,2
values_13,4
values_41,23
values_55,32
values_31,28
values_66,32
values_65,12
values_62,17
values_21,22
values_95,29
values_84,24
values_58,5
values_64,19
values_83,31
values_94,31
values_0,13
values_99,7
values_96,18
values_67,9
values_61,17
values_43,4
values_2,16
values_54,29
values_30,6
values_59,22
values_85,4
values_74,23
values_90,28
values_18,22
values_52,3
values_44,28
values_17,7
values_36,28
values_49,14
values_86,31
values_37,4
values_56,22
values_63,21
values_35,2
values_97,30
values_75,5
values_57,30
values_88,13
values_10,12
values_53,2
values_8,27
values_39,31
values_47,18
values_60,5
values_89,28
values_51,8
values_14,12
values_28,2
values_16,7
values_34,19
values_82,2
values_46,7
values_27,11
values_20,23
values_9,21
values_92,32
values_3,17
values_98,2
values_29,2
values_80,28
values_73,16
