inputName,size,arr[size]
values_11,30,"{-3859, -18138, -27788, -14104, -5494, 10208, 17142, -28958, -16119, -28607, 18995, 10331, 21565, -3855, -12812, -20143, -16096, -17787, 24958, 17545, -25349, 2574, -5239, -140, -27195, 23081, 1575, -8257, 26659, 22348"
values_19,24,"{-7516, 11650, -13883, -5684, 14213, 45, 32176, 25382, -481, 10350, -8608, -22108, -31911, -19568, 24456, -716, 569, 16538, 24109, -17514, -10216, -17273, 662, -1542"
values_12,11,"{23404, 21689, -15233, -568, -8041, 14741, -16437, -18341, 2936, -10321, -6021"
values_38,8,"{12088, -32052, 9463, 12306, 19721, -11189, 11892, 11968"
values_81,31,"{19849, 395, -14367, -28673, 6301, -10290, 10676, -20629, 2390, 13276, 23707, -24532, 24033, -28782, 6551, -17555, -1818, -31776, 14587, -15090, 5029, 10000, -29228, 24073, -4255, -8788, -8788, -15722, -18022, 1078, -5108"
values_5,27,"{10105, -32078, 31174, -15647, -602, -293, -4247, 28378, -2880, -19454, -25142, 20930, -32363, -16411, 8964, 31339, -27896, 30402, -7575, 29122, 10784, 10054, -18856, 4717, 19012, -30597, -32730"
values_40,15,"{6581, -2017, 10170, 7075, 21233, 11199, 18281, 8563, 14127, -4823, -13370, 27893, -23370, 12573, -22021"
values_70,9,"{-28759, -10886, -18079, 5038, -28425, -6402, -5116, 22086, -24827"
values_23,2,"{18548, -27674"
values_72,28,"{12540, 14968, -20813, -27864, -19026, 3519, -7157, -14238, -40, 26358, -28087, -22008, -14915, -26558, 8403, -26504, 15502, -13483, -17273, 13866, -6510, 26520, -21400, 25696, 2423, -4389, 932, 3620"
values_79,14,"{-15016, -27499, -28658, 9401, 11828, 3456, 28742, -20015, 21044, 12998, 10506, -16076, -27204, -1017"
values_78,31,"{16057, -32030, -16201, 13613, -29302, -18716, 5880, 23947, -17746, -28223, 7904, -27117, -3633, 2034, 7341, -26898, -31933, 31634, -18700, 24614, 21524, -30095, 28085, 15134, -9968, 9043, -4151, -26414, -23151, -1680, -22581"
values_87,10,"{22840, -14883, 23330, 19850, -32257, 31154, 23868, 15620, 9281, -6167"
values_6,26,"{7266, 11680, -16200, -6304, 9512, 5825, 7286, -1722, -29565, -30576, -16206, -15748, -145, 11335, -9060, -29460, -8595, 25139, -4246, 12938, -9049, -21285, -14405, -26709, 5570, 9823"
values_68,14,"{18910, -30052, 3486, -1349, 23740, -29231, -23770, 14438, 29500, 7348, -2422, -16441, 15332, -3933"
values_69,14,"{28468, 18580, -12444, 30975, -29934, 29540, 6018, 2141, 32255, 31503, 15054, 16414, 25030, 1160"
values_1,28,"{-20831, -5409, 27026, 10924, -21830, -15723, -31643, 24322, -22822, 1588, -29788, 25250, -28356, 28723, 32068, -9545, -32136, 2762, 2573, -26010, 27865, 13543, 19273, -8242, 30817, 742, 5228, -17064"
values_45,16,"{18824, 19203, -3011, -25151, 22936, -7783, -2649, -11187, -4768, 3857, -4822, 9781, -22267, -19834, -22035, 21828"
values_33,2,"{29765, 7782"
values_15,13,"{23823, 18424, 27145, -12156, -6048, -31962, 2037, 6106, 7925, -3284, 15186, -310, 6335"
values_93,5,"{-11272, -44, -8117, -19554, 10854"
values_24,27,"{22264, -15982, -27709, 13494, -4308, -4652, -26219, -16180, -25747, -30713, -1017, -19987, -1388, 30024, -22163, -25974, 8370, 24915, 22490, 13302, -27505, 11821, 1882, 31926, 24628, -24754, -10088"
values_25,4,"{24586, 16887, 26524, 19407"
values_26,3,"{19125, 8997, 32751"
values_48,14,"{-28776, -24054, 29593, -21674, 31766, 9793, 7859, -3617, 5000, -18120, 15544, 29083, -3616, -15841"
values_71,12,"{-2914, -9750, -3209, -8819, 10484, 16477, 14506, -3870, 10699, 28274, 2560, 11042"
values_76,30,"{-23956, -30429, 2308, -17921, 6098, -21511, -26225, -12212, -29366, -4685, -11044, -8086, 1402, 13983, 268, -28627, -11642, 29957, -5105, 8599, 31505, 31020, -6435, 1322, 13200, -18902, 18709, -10237, -15273, -2601"
values_7,28,"{2864, 24660, 28691, 5325, 14795, -7537, 15075, -12649, -7551, -3369, 7390, 24392, 2237, 23050, -11571, -31765, 26217, -27541, -20261, 332, 15954, -7462, 13737, 31277, -21751, 22004, -24192, -13386"
values_50,22,"{-30757, 21137, -4039, 28505, 29270, -29719, 3243, 29785, -20595, -31834, 16374, -24296, 16031, -8521, -3411, -16732, 9559, -24609, -22934, -23827, -21629, -10625"
values_22,32,"{-3859, -30849, 2719, 756, -17288, -23159, 12408, 31068, -13873, 22921, 16019, -31907, 25949, 3826, 14832, -28309, 32062, 16987, 13495, -3518, -30703, -14053, 23003, -20145, -27554, 15016, -9066, -10648, -507, -26948, 2792, -24429"
values_4,30,"{639, 30137, -14684, 21120, 16198, -18546, -24048, 7910, 7209, -32097, 18530, 24905, 23304, 16166, 11906, -6572, 15287, 20204, 15627, -13924, -17935, -18932, 15912, -17075, 25571, 11118, 17483, -26434, 14234, 28514"
values_32,18,"{-3557, 28965, -22389, 29990, -26826, 32439, 31208, 16068, -5862, -7497, 30978, -3154, -23493, -16928, 4421, 16049, 658, -29015"
