inputName,k
11,163
19,163
12,163
38,103
81,249
5,251
40,64
70,253
23,240
72,253
79,253
78,253
87,249
6,251
68,47
69,47
1,251
45,64
33,103
15,163
93,231
24,240
25,240
26,240
48,64
71,253
76,253
7,251
50,192
22,240
4,251
32,103
77,253
91,231
42,64
13,163
41,64
55,192
31,103
66,47
65,47
62,47
21,240
95,231
84,249
58,192
64,47
83,249
94,231
0,251
99,231
96,231
67,47
61,47
43,64
2,251
54,192
30,103
59,192
85,249
74,253
90,231
18,163
52,192
44,64
17,163
36,103
49,64
86,249
37,103
56,192
63,47
35,103
97,231
75,253
57,192
88,249
10,163
53,192
8,251
39,103
47,64
60,47
89,249
51,192
14,163
28,240
16,163
34,103
82,249
46,64
27,240
20,240
9,251
92,231
3,251
98,231
29,240
80,249
73,253
