inputName,size,a[size]
values_11,29,"{811806244776435682, -2170486026335738636, -4762277071418146320, 3474542458110993354, 2500075087360093245, -7790854486277275792, 8599424774465820963, 970409398702413011, -3591589829053148471, -3814965688549149527, -2341914849479727439, 759549485225691711, -230570937281984279, -3428063690289742144, 8202313547700929367, -2189225544517311465, -2979811656165426753, 2736618461867700158, -3956552015801000951, 320707080324640943, 8844273387120322138, 6444557847268105293, 3858341098308883212, -505565160979563427, 9114238714588374326, 8448594085910529541, 2638048890711688033, 6826559242161600095, -4666581143069177972"
values_19,5,"{-8693358452359182640, 7710871891990568385, 1161695612824234695, 2439627898319936992, 9009638601028706717"
values_12,23,"{-3649822279438995590, 6938427391393251065, 8644650140998756287, 460510919915551346, 5752741789553244335, -6774969943557982163, 1975853000290151759, 8357439431934623781, 3237469642409207974, 3295089081309295976, -2285469755326173258, -6918690864524841950, 7235347834613235859, -503802602941073056, 1908488618915388532, -1601992581584393124, 4991993607066028131, 7439087224379077776, 4931101622662588938, -8988978675972615719, -1040977694398242691, -1963592618866982304, 1550788320978502269"
values_38,16,"{162661685968673761, -8520606488285190910, 8108992430819104893, 3260608545214237908, 4239371804312678087, 8445698606118688634, -4789056990702944859, -6535315778107253444, -3387504432720572043, -6475496289566426237, -3998043918102061004, 5611787108707062545, -2836929299592822245, -980153011641515316, -9141973383773849190, 8463816343524284717"
values_81,7,"{-7484769977005771986, -4241481015234779776, 986762505006696324, -671737432424406085, -2555296085700689858, 3024327536933092848, -4668495550447969"
values_5,11,"{3390249979051513414, 3108420922852157540, 6825358079709442867, -1694190078569000355, 6262705313420119885, 5233087725150956217, -4566400901243802270, -3746306226591152226, 1921953857640435186, 6724384155437150045, -2075965344567290264"
values_40,10,"{366120866366375541, 3941607067462462931, 1506598319520212334, -452127467218776660, -6617652574157917096, 1729370444008237204, 891034682188319092, 4879831182319875675, -7341180322688219798, 5675700293799648988"
values_70,29,"{469631211202164830, 89080816845325195, 4284113210847238220, -518129238495890841, 1926908930137768012, -1038445569994832781, 9003840024016055226, 6983336583315590972, -6743392588325272341, -1436352969845752313, -6094652740618641813, -3908171433523096025, 3894126771879358953, -8592268693999371882, -5946611641070035284, 719435150642503663, -9084227646630110185, -6261940595180003138, 3230965145356377051, -877145892137536391, -6782115347524219922, -7021531415368531509, -8488831504803297926, 4494661307238863696, -3814283319121225484, -6726236046208956958, -5283421853126637439, -5630251573462042517, -2275984645416916673"
values_23,31,"{-759415728750037745, 5544348191282169169, -8199402988821738209, -6821491861076549412, -3242979809202170120, 6709191355042041782, -821771473429616720, -2889715867989362896, 5603548425085058598, -1742852617590340634, -419147139647538728, 8051045804253611017, 5454652143331358254, 6494400516958552919, -6058504417396907775, 3602252729894982921, 3154527374509483228, 8879130081522948942, 5672625106877086725, -676915495415420772, 7484300532496703965, -8787263992396486288, 3166366073837112666, 1135683998580926900, -3411333808812079636, 7802500069447084736, -5159235437387894521, 2346622416776960089, 392702207802733677, 3066432172288521335, -3569617097672439311"
values_72,14,"{5466892885657300063, 8486199965005973367, 7823339419427363286, 2992972790772551414, -6524928793024706206, -1756711274918157695, 2010426502122834856, -891974716947472336, -356310818026774785, -8680338731553338619, -3102125533288708259, 4052499513413299655, 2702546987173391501, 4692802077840309055"
values_79,21,"{-9160155239717884945, 229059946387122933, -2978741755157953538, 6952731803869239953, -6589811097251791502, -7768822837814254311, -8548339224268563503, -1823160981791994331, 7611755468191454908, -4638515354740725369, 7415930477391436763, -7065334322429695354, 6439203435235350435, 4697028310844928855, 4036687068268771241, 6823115324916254462, -74772983852906858, -695034744321317847, -5528784741148352007, 7472969834543708086, -6712984033779406133"
values_78,13,"{-7124192503990498097, -8880898521020696322, -4862304706733945412, 6364240461209979728, -6903333182144143444, 7617669185906839711, 7872527091050799988, -7527124594394368831, -5896483309134737000, -3069503682754982998, -3474202362151399058, -7653886838535453800, 5657871965639769908"
values_87,11,"{7873018016322876505, -5358084506779321380, -8208659884274571655, -8833714255060103418, -1274601246631749736, 1848471358357787313, -67898359725294123, -447150655424992735, -7697752335578832652, -7050394062279326973, -6878593637004913861"
values_6,17,"{5440737701913182315, -4048802937670987319, 8779233992594873222, 9182449780885838338, -5862532369822325290, -4423896536530153729, -8926555873191902317, 1786001522226334060, 653616389947187799, -5339415945710238839, -5434165378778513253, -4846367726553549416, -6079162043662827955, -6284126234954910121, -7812173185609485886, 1899171881170229775, -2239120406544048594"
values_68,3,"{986186901431032960, -3043322482047785007, -7517645102322593339"
values_69,3,"{-8459964467812748169, 2470474517519023038, -7945160148795231234"
values_1,29,"{-19087376943723593, -2352256107409944651, -5288841072926671008, 2070117425626317834, 4175123933768435036, 3581177344094876540, -773919411943326056, -7257348215814907883, -5286262134592998130, 6620147816256048588, 3996429050199676753, -435835266157871367, -8804546568788289855, -229649418709542377, 5639214661066411053, 7819711868800481275, -1332500507606059032, -2941313813444978244, -8908561909148107529, -3286699333312060188, -2974006415137843556, -8834711069853002095, 2440084703659545535, -3658162880558395787, 3567083421793724573, -2925643224594109028, 7509631012851339811, -2380703836714980246, 2210972345349676090"
values_45,24,"{-4274892248644806463, -3782913183748791359, -2617863126151929179, -997788459998301793, 772169248210232529, 5588941592183543907, 4635096721687227341, 4324676069406607280, 4666387275599431032, 8712982243734587666, -7819348092967477483, -315432204605542958, -4954257585432697901, -6569544371748641574, -2556022722655519224, -8628884155131888577, -1657767191156319758, 2828179052719573998, 4909017630583710865, 1402159573651218498, 84980645264123417, 4068645596346086424, 6702984297380772910, 6782537260836562758"
values_33,11,"{-5379404623397161349, -4021155794351660221, 6160994575188469492, 3450554655006811627, 4103337993233942843, 8004009490360893206, 6966919374596247625, -3719077774914358241, 1369195216540562104, 3387528029366830947, -2439515111937554877"
values_15,24,"{-7682882000497806932, 9075746530718659649, -1222758301607055617, -7334387591961750774, -183583026325585963, -3757649400811335177, -8794329073959542230, -1110694273479555219, -7268366237546207887, 1906726684357961444, -8639291214240580299, 3229840508408357918, 7415280956373210201, 4603462968435572716, -8199272881698274, 5176022542440019145, 8407317129267272121, 6392663660265194883, 2086380810159802426, 5298892626268220609, 6243006141337175494, -8988473710691448838, -8476899498433126160, -4020420725677921193"
values_93,19,"{-2210247767636174743, 4352555644087247680, -3838411572244823432, 8567657605912936747, -6088936978573368058, 3297462081489786438, 2440673595157570139, -4206322762092093212, 6772436165509590266, -5432982458762490481, 4842697800616150977, -5061223543448017401, -6781488162634534255, -6964401863487110219, -5180609581305818990, 2857172649102547867, -1355503749533104738, 9081671351061981456, 6819531778302316260"
values_24,15,"{8670898027701515646, 7974698004033593968, 6010230306566881055, 2928109182483358924, -3752174777898898400, 7933952268158228363, 5551071760401185415, -3136197061207944728, 4028473353517091468, -5810788642044352770, -6886541428095687688, 8699169776045440082, 7982308538552311636, 2984895877269493576, -1494217759145475970"
values_25,32,"{3471349639734109102, 305969351387222759, 7846582883692607220, -887656657737128021, -5625264782283615176, 5332091854896463128, 6948637138701735070, 1698454145259659676, -4856142679647785347, -6519889027526393032, 5421525552990535098, 2536591018988141591, 8575591878095721379, -2880034907325906768, 8575245391664815139, -6433068978992087228, 7153471960384401134, -897468803543812641, -869547850974594044, -1448590162362063483, 4449908787032823871, -1506242300750095, 2491957071537726686, 1267319804897846383, -7268017603352368338, 9206554630138739889, -3456408431003808844, 7533696913458107787, -5241365557341218979, 476216459709185638, -8505538249507482131, -3545058145700328971"
values_26,19,"{3512077958469415683, 1734992034045620737, -8659746934857876265, -1322770551628859384, 261444372259051850, 4767802628455748849, 1256956452555617250, -5755878471343105480, 3444389364754398699, -4179114122325705730, 5637988460267452015, 1986536126094150143, 7898570202427725472, -1635224187992989068, -468069458936023642, 2486939409757504865, 6165783266342903364, -6012871611470043360, 4736411665374882842"
values_48,9,"{-2961557476896317947, 3825316203640133489, 9073607629827596356, -6921127398764736010, -7191750016292475208, 4797181017281625173, 6632109072035985095, -6321161455661240630, 1464083063086984084"
values_71,31,"{-4701292546711751538, 8513345433999548411, 3689852553379165621, -3196700507929665457, -4862384406985429549, -4723782087181270609, -5581155046549909837, -5250627411379452590, -386337911159279704, 2322942315429644163, -7272759834857515732, 4685075580750362015, 3226734012959472744, 1671812644757294169, 80793814454221458, 3112421019027443875, -6374136884687114477, 669235114199150890, -7458040583682110128, -1400807339513487450, -3349422581704642694, -5003348497306821211, 1820418185194614616, 7543118517579321365, 7568958182937593890, 6290917145575064539, -997045056409378113, -58637364148619232, 6712936025052346398, 4193908919891975435, -3481635519396520857"
values_76,13,"{5610115564012298073, -4588309084016575833, -5721356887649991083, 8750227611519070927, 8844623919697803822, 3680791080438060051, -8841330883623844769, -5883056970242576444, -5431312242897191754, 5199883775913506811, 9193276352929866539, -7556554987160294248, -8610955311158285335"
values_7,4,"{6236128686383278917, 4478888089215856222, -4805768917530791596, 6723097855216675080"
values_50,10,"{632081826678223393, 85393790612837876, 5340421014038640854, -4711152479052342015, 1840757515774045625, 362217415863347186, -1787981272861320180, 8127519887683309950, -2088799462519610686, -3563653898003319328"
values_22,28,"{1722852406412524832, 6337028993402321435, -4327545392095766167, 6973143200454836659, -4063639792274150978, 3251701521016137522, 9085163148129583652, 5405386491043960295, -1504962547489810599, -1535336394819063149, 8405709782284028544, -6223902315453696635, -301066149560075779, 2100291664688341736, -1707226542030651743, 3571733307369144999, 3331367405992164720, 8722497850638506346, -893599286385005378, -6410350645179915517, -7484235409408625797, -2778709048715572371, -5195600241219659233, 2890624856723246866, 6679881777686882823, 7963959655846969413, 2857367700750166883, 7595942460616328198"
values_4,14,"{-8248775573237630659, 8212191169198883489, 255126018243753589, 1365385989778609915, -4463834584057607203, -6449450040458491800, 4868519160419925874, 3614847677164586218, -2148947389126106535, -8757450027493098278, 876939872577135162, -7930099841853203648, 6282693718045610267, 7526626174399478513"
values_32,31,"{6822560985054799604, 6517488651959857748, 4152613164087321427, -8489255092633433568, 5162188378024515633, 1302963814356069200, 3962957951548676462, -8817772774860668159, 9000804347668374004, 3741725762476323413, -8595495504404550338, -7853954882928474082, -6966045254220767674, 6370201358133198077, 844377291227710392, -2172525491965865161, -3825280482572069222, -9206750605245299166, -2550047405058224670, -5235739864552649625, 5165332303024374826, -194435023840653973, -5850685284969045343, -8602791074640160898, -3003044766965972489, 5293678795922439496, -1139560203762094779, 424484718917002217, -6479241160846685318, 7146949544099849306, 5997075185443774000"
values_77,24,"{5247029215263101136, -3514707265542642358, 3048687640913717759, 8173708180461721819, 5679951248697939107, 8052909953090959887, -6749744697218273884, 4532946631298896166, 8794533550269992136, 5624496674827426373, -2573302520605030583, 7043698886044228455, -2148389812104892759, 4690132811571038071, 975616994419564864, 2844504013010141476, 6970241718181830942, 5726622622500882559, -8707597844555509571, -8136615039502980753, -163177468289948594, 1986282812715913997, -1214505458914253757, 38641218560934237"
values_91,18,"{-6669588303364584001, 4592204203219450826, -4076278699138284584, -1989218517673760447, 508835983518753819, 5474991457234270488, -5760598069332710410, 1610319174729936407, 2506459775716801578, -7445020949316743578, -4035129918595580977, 2068611624681022679, 7613871686315407986, -8481090417472506821, -2424806874065362199, 1856977298931259278, 4751672738032281483, -3847566236187211525"
values_42,25,"{7876100714645830603, 639912513800856160, -1179827559367078276, 3854075387324813286, -4422302066715959479, 7090035100656066166, 6604814941512895829, 7118584606379884710, -2333341361718429140, 1134513411255448240, -6300004564431589049, -7241040178804593193, 1386278777778740167, 8804506136297917310, 676709663420900680, 5109607528900388604, 2864270383318441931, 7274578479472671418, 6480602293274999091, 6169446111229937394, 8186831653518548871, 7546743533926306749, 3968485714981283599, -1388522888806083118, -59693761726130341"
values_13,15,"{-4879191719431174462, 8638823308933557746, -7609449389761959554, 8383751467077174796, 1843058517820532693, -67111740627122896, -8523269020497968369, 2283711828146082261, 5503328093928731844, 2730578600591388878, 1552848756628780072, -1391604342475966870, 369176967282073587, -5646258841960331162, 636030141492085540"
values_41,24,"{-1323698243433786310, -4876148296275869494, -2080377508220604089, -1382691162818709265, -8775685945512923838, 4845406487260868811, -3797419486305362488, 1875473503870318463, -6678016006675813226, 189429004303826677, 7809743631385305572, -3662976379234467755, -3834317099094298898, 7440494253517427693, -4748716791106942508, 8836763161983967019, 968483043905897729, 7506564741804650710, -6851195367005238964, 7152437577266267175, 6080863455239996765, 4612518412166844933, 6160530969433478915, 4897912060569748458"
values_55,5,"{-4938805757069733979, 742446096416192674, -3414308585855232920, 8251863242245405154, 6069157255057663244"
