inputName,nn,size,isign,data[size]
values_11,2,14,-1,"{-2142930218, -1703058476, 509670768, 847146614, -662395202, -1208696774, 547420416, -2016428008, 706856074, -662051871, 952881630, 320938173, 1057889337, 1111650087"
values_19,2,19,-1,"{-931517062, 1259543510, -529352801, -847893067, -1346118904, 1867177142, -915650741, 2083984382, -526528633, -48541993, 1574379599, 528952020, -977525966, -1601436593, 2046273585, -453623745, 502946112, 1509373490, 581555794"
values_12,2,6,-1,"{-55586659, -280206532, -1530579895, 1700245579, -1447375712, -902344140"
values_38,1,21,-1,"{2364244, 788356736, -1201867940, -637701563, 926291169, 2113983877, 761567386, 106546314, 1985040989, 1562761585, -1344475407, -885506106, 414830778, 966238613, 205510395, -993065401, 1084687454, -821461920, -427596572, -45851904, -2006461647"
values_81,4,14,-1,"{2122583494, 1611421528, 1010202829, -615007140, -196018339, 1268203889, -595243142, 1999037708, -457926467, 299228816, -238982444, 1816139344, 1042249581, 2087491980"
values_5,2,17,-1,"{-1801813827, 1702840806, 346595590, -791621311, 665845458, -591985031, 1929756762, -1396046396, 1380485804, -1237652419, 1890599168, -1616184140, 2095748996, 251049414, -529869804, 6820908, -1455559971"
values_40,4,30,-1,"{698732254, -170304871, -388280806, 972523570, -541339245, -1238668110, 46790440, -1340583895, 1297199958, -206810361, 1138164532, 1221166687, -136288014, 915220783, 1752145601, -1235841709, -2055901950, 701591232, -61439677, -1763967876, 818625475, 656652705, 1436753168, 174209757, -184612237, -91902865, 2055370009, 230571941, 41013973, -2039686291"
values_70,1,30,-1,"{2038649129, 1163984336, -1235800739, 1610818817, 1400776448, -1377872258, -1903590340, -2045485787, 409521131, 160402399, 1873397852, 1658813261, -1374861559, -1069600457, -1841611718, 1608321875, -1240345926, 142526848, 2010817839, -1920222228, 518673537, 501936147, 985675423, -858483309, 499840497, 2072658259, 819356987, -772894446, -1428729019, 252713658"
values_23,1,11,-1,"{1937048495, -1819311123, -290961758, 1707732735, -2053722319, -455502977, 186950557, -1309572036, 1865537497, -492333617, 885057874"
values_72,1,6,-1,"{-345040660, -962618778, 1690147843, -1587998094, 2080142071, 900576632"
values_79,1,19,-1,"{-508949514, 1104443810, 567232650, 2123273748, 116718922, 331534667, 365054811, 1244168467, -770925253, 1374223142, -191188432, 64631020, 1751267677, -1885355731, 2112675677, -755192295, 1922965422, -2050736613, -510209841"
values_78,1,21,-1,"{412083476, -2077009411, -416270346, -2005916649, -2067597297, -630595690, 1128103165, -701049164, 308570980, 202812019, -964679819, 427652039, 530310617, -714873646, -298544075, 471662562, 2035521488, 806432185, -261754621, 950305502, -1823886328"
values_87,4,10,-1,"{-50312758, 1171589700, 371549567, 155697843, -913357321, -1011206608, -186198273, 767788920, -389500782, -231865464"
values_6,2,6,-1,"{1842848464, -1661391492, -1851446144, -804044593, 1042275210, -1373620002"
