inputName,k,size,arr[size]
values_11,139,31,"{-8484376068189948148, 5676157398780949939, 8814334717131814739, 3000843370071915746, 854837547790116101, 1850199183186690606, -1414294866446266344, -5713771929791231987, 5836668919828530788, -6399826354772557374, 6713649795288697857, 17296358515810733, 6568776499703077848, 8496047505379396639, 6289088337128673419, 3089051481596491022, -5940222526041584302, -8250157619283341398, 6717182508166453646, 6101201949959632769, -8164715000612690933, -3347113933007139020, 4891561642346394322, -6878730743906175876, -2474955752333007595, -460402083669507499, -1470069820729667300, -6844923688477814562, -3440363463848982900, 294727558783713029, -8166251275690160925"
values_19,139,5,"{-7303813854074824168, -9012121256438592548, -891902323592901767, 2999620759110895373, -7914203757107736282"
values_12,139,2,"{829648964806459861, -7705266459782576223"
values_38,81,28,"{7884491976026951569, 5526695859129225029, -5126412778459553197, -3568980184453264342, 1767332096530202302, 139844511193453078, -4360565549289783134, -2800864257211334057, 8458095750524193658, 8092351370666995427, 5897731411756241786, 3237473608437408021, 1332734024859511235, 3118464348233371144, 6328535100568595345, -3208287682768807420, -1408662314408151733, 5541851039038983417, 7545025501702578752, 6051774529634705268, -5280403052567705701, 4524126590336823346, 4670307331114729271, 6382940603878261598, -5906957187244146926, -7000239252663249263, -6530621584522475054, -6124717026455558624"
values_81,11,31,"{-1240755544721962691, 8773745447203004660, 4424542540045437629, -3661630175111564781, -6366564076468619618, -7714484772530246547, 8534943590225855676, -2227224103015660194, 6704137677635510165, 1818751764736778861, 6035861297650947370, -1635099894376259881, -8226603887709979204, -5161278725064885127, -9054575571368707799, 8959864971089790682, 2299964041205259107, 2441366051299832830, 7515284251760547689, 2725100201317741876, 5465563742291665551, -208575677561634442, 7665719542914422931, 7153559278693279427, -6687581924119437081, 3514129935067462475, -4208271204075448011, 4081596258977599920, 4000509111056322128, -2524589656197693772, -3064174616427492487"
values_5,180,20,"{-8093880382224449159, 2000932019521873992, 4819397672739257608, 5888257213375057638, 8862638683459893740, 8199133662570427228, 7944987135716504813, -653959926999316800, 4670581595991375317, -2427013115547960154, 150810829079080426, -6928819574662287963, -7213213736606223273, -759891911053236482, 6443657279415437782, 5497892712842503840, -1241698656346721724, -5198239928178080657, -5538080411234685688, 5412601159804098925"
values_40,133,31,"{-5390218122551815777, 1908879489715240483, -5725169065090219017, -8617137819450662851, -1552701780932503052, -3088237689842457989, 8794625842052178657, 6910600267926194671, -2325999543286334257, 8318686007355628183, 13845101827968452, -8887322452372148612, -7342325742082683064, 2703375293653887029, 3415921491463813690, 693510900618590278, 5321863137738018469, 8527901396191878203, -1442295377437518802, 941980480676415346, -1918904582924299954, 6266842574801142565, 2451805423920165995, -2127397682199384672, -8530052981126911356, 8113886027180951919, -4063568083148846507, -7680673670572300664, -2748509011833507273, 4015323609803624395, 1321828629560811815"
values_70,232,31,"{-577584970879011777, 7386561972571664185, 7636785296481606978, -8921350117171945310, -3084183731800500813, 2241170899997245164, -586603079237177601, 4761808930625641708, 1810159225894246030, 4553450786769791792, 3184189681304523071, 5368120564972862638, 782663850233494225, -7556933155495768571, -2595987815868126470, 6510280122337646968, 7464493105129624276, 4256172804893623734, -5083452882183163442, -8264542429072804884, -493214783863736809, -8080942887613458761, -3790169612236218362, -7162681307369468160, -5128489264016458658, -8578278405720870879, 8081355367752951969, -5567042743289966815, -7931929010723107970, -5709116753487375541, 279509290840510340"
values_23,104,3,"{3998206442649470030, -6089484421440175537, 976761113926257768"
values_72,232,2,"{-3238988848133248479, 8302450148387127089"
values_79,232,5,"{-8022857248767815037, -8377606413596337955, 2490610015434780590, -5868837617730648031, -3930468739441244359"
values_78,232,28,"{3440196398836054293, 2179530617937826176, -5525886204212146157, -3758658146374339796, 6051078691623149440, 7405339364521371442, -6454700369538537851, 4939359210497915215, -4795272821926318774, 3255934895832071834, 7671080508237699485, -1364837359275386725, 3151602722583872313, -9077487290770380029, -3954549106958425128, -7498001019250858680, 6669950327256589598, 3416538121975563661, 4819624123558452267, 4545005390166330380, -4244835980478860506, 4209840781462949890, -3582197830313942215, -3761215265693854242, -1052796922909937454, -6992864552125100414, -8652684704715143616, 123527644186068495"
values_87,11,10,"{-2985012534130895873, -1667831531541365429, -7451701059877039526, -5223353145955259624, -5914006844391600915, -887046550393454016, 3330174461009783392, -1708637898077619751, -5346009803177989826, -5006582212594925419"
values_6,180,3,"{6614522407761233654, -691107255284786179, -1265894400645506499"
values_68,155,28,"{4013447666400617979, 6251822803647527544, -7891645715830417364, 2139905090209344516, -1750123129227603951, 6855052660515120208, 4590351670251773886, -5879433672638932862, 750983303808433149, 8921484772488543454, 5589400431489699241, -2208322776496372261, -7967134934746724387, 3431223909110191493, -2704819590478228082, 6922405806062682000, 345905648920010274, 4443398933337860062, -8604762891429287965, 6291332294551779786, 7818976384811329491, -2522040662063246038, 2261290882809300645, 2530503711583660161, -7236606852652612529, -2403042468501649069, 5356300589310940959, -175929213855928500"
values_69,155,5,"{-5387291145310355896, -7187672963560562568, -6466069139967415368, -5585416674521438742, 7340158935717884318"
