inputName,size
11,3
19,29
12,25
38,31
81,19
5,11
40,21
70,18
23,15
72,30
79,20
78,23
87,31
6,27
68,6
69,15
1,14
45,26
33,15
15,31
93,8
24,17
25,15
26,14
48,27
71,32
76,15
7,4
50,10
22,30
4,29
32,29
77,27
91,32
42,7
13,6
41,12
55,26
31,2
66,31
65,3
62,23
21,22
95,25
84,11
58,5
64,29
83,11
94,25
0,32
99,13
96,17
67,29
61,9
43,18
2,29
54,7
30,26
59,26
85,10
74,32
90,25
18,5
52,6
44,27
17,18
36,12
49,2
86,28
37,30
56,31
63,27
35,18
97,16
75,10
57,30
88,8
10,22
53,6
8,7
39,16
47,21
60,13
89,19
51,14
14,11
28,11
16,25
34,27
82,30
46,19
27,17
20,24
9,19
92,19
3,6
98,16
29,6
80,28
73,15
