inputName,k
11,228
19,228
12,228
38,163
81,132
5,207
40,135
70,206
23,165
72,206
79,206
78,206
87,132
6,207
68,65
69,65
1,207
45,135
33,163
15,228
93,242
24,165
25,165
26,165
48,135
71,206
76,206
7,207
50,111
22,165
4,207
32,163
77,206
91,242
42,135
13,228
41,135
55,111
31,163
66,65
65,65
62,65
21,165
95,242
84,132
58,111
64,65
83,132
94,242
0,207
99,242
96,242
67,65
61,65
43,135
2,207
54,111
30,163
59,111
85,132
74,206
90,242
18,228
52,111
44,135
17,228
36,163
49,135
86,132
37,163
56,111
63,65
35,163
97,242
75,206
57,111
88,132
10,228
53,111
8,207
39,163
47,135
60,65
89,132
51,111
14,228
28,165
16,228
34,163
82,132
46,135
27,165
20,165
9,207
92,242
3,207
98,242
29,165
80,132
73,206
