inputName,nn,isign
11,6,0
19,6,0
12,6,0
38,7,0
81,5,0
5,4,0
40,7,0
70,3,0
23,3,0
72,3,0
79,3,0
78,3,0
87,5,0
6,4,0
68,6,0
69,6,0
1,4,0
45,7,0
33,7,0
15,6,0
93,5,0
24,3,0
25,3,0
26,3,0
48,7,0
71,3,0
76,3,0
7,4,0
50,9,0
22,3,0
4,4,0
32,7,0
77,3,0
91,5,0
42,7,0
13,6,0
41,7,0
55,9,0
31,7,0
66,6,0
65,6,0
62,6,0
21,3,0
95,5,0
84,5,0
58,9,0
64,6,0
83,5,0
94,5,0
0,4,0
99,5,0
96,5,0
67,6,0
61,6,0
43,7,0
2,4,0
54,9,0
30,7,0
59,9,0
85,5,0
74,3,0
90,5,0
18,6,0
52,9,0
44,7,0
17,6,0
36,7,0
49,7,0
86,5,0
37,7,0
56,9,0
63,6,0
35,7,0
97,5,0
75,3,0
57,9,0
88,5,0
10,6,0
53,9,0
8,4,0
39,7,0
47,7,0
60,6,0
89,5,0
51,9,0
14,6,0
28,3,0
16,6,0
34,7,0
82,5,0
46,7,0
27,3,0
20,3,0
9,4,0
92,5,0
3,4,0
98,5,0
29,3,0
80,5,0
73,3,0
